brand,category,color,Sum of current_price,Sum of customer_rating,is_returned,Sum of markdown_percentage,Sum of original_price,product_id,Year,Quarter,Month,Day,return_reason,season,size,Sum of stock_quantity
Ann Taylor,Accessories,Navy,19,3,true,11.9,21.57,FB001131,2025,Qtr 3,August,6,Changed Mind,Fall,L,37
Ann Taylor,Accessories,Navy,66.77,5,true,0,66.77,FB001808,2025,Qtr 3,August,6,Size Issue,Winter,L,28
Ann Taylor,Accessories,Pink,43.48,5,false,0,43.48,FB002080,2024,Qtr 3,August,23,"",Spring,L,11
Ann Taylor,Accessories,Pink,23.28,4,true,0,23.28,FB000826,2025,Qtr 3,August,6,Quality Issue,Fall,L,44
Ann Taylor,Accessories,Purple,70.75,2,false,0,70.75,FB000949,2025,Qtr 2,May,12,"",Spring,L,0
Ann Taylor,Accessories,Purple,33.56,3,false,0,33.56,FB000991,2025,Qtr 1,March,27,"",Spring,L,24
Ann Taylor,Accessories,Purple,28.21,3,false,34.3,42.94,FB002038,2024,Qtr 4,December,22,"",Spring,L,41
Ann Taylor,Accessories,Purple,37.06,4,false,46.9,69.8,FB002158,2024,Qtr 4,October,21,"",Spring,L,26
Ann Taylor,Accessories,Red,69.69,3,false,0,69.69,FB001288,2025,Qtr 3,August,6,"",Winter,L,35
Ann Taylor,Accessories,Red,74.77,3,false,0,74.77,FB002108,2025,Qtr 1,March,18,"",Spring,L,26
Ann Taylor,Accessories,White,54.07,5,false,0,54.07,FB000173,2025,Qtr 3,August,6,"",Winter,L,47
Ann Taylor,Accessories,White,16.81,3,false,0,16.81,FB000454,2025,Qtr 3,July,31,"",Spring,L,16
Ann Taylor,Accessories,White,25.39,2,false,0,25.39,FB000822,2025,Qtr 3,August,6,"",Fall,L,42
Ann Taylor,Accessories,White,27.58,4,false,9.8,30.58,FB001242,2025,Qtr 3,August,6,"",Winter,L,34
Ann Taylor,Accessories,White,21.67,4,true,59.1,52.99,FB000920,2025,Qtr 3,August,6,Size Issue,Summer,L,50
Banana Republic,Accessories,Beige,13.8,3,false,44.7,24.96,FB000260,2025,Qtr 3,August,6,"",Winter,L,44
Banana Republic,Accessories,Beige,72.81,5,false,0,72.81,FB001231,2025,Qtr 3,August,6,"",Fall,L,4
Banana Republic,Accessories,Beige,43.83,3,false,0,43.83,FB001677,2025,Qtr 3,August,6,"",Summer,L,31
Banana Republic,Accessories,Beige,35.88,3,false,54.8,79.37,FB002174,2025,Qtr 3,August,6,"",Winter,L,40
Banana Republic,Accessories,Black,21.67,3,false,50.9,44.13,FB000055,2025,Qtr 3,August,6,"",Fall,L,21
Banana Republic,Accessories,Black,36.93,3,false,0,36.93,FB002055,2025,Qtr 3,August,6,"",Summer,L,18
Banana Republic,Accessories,Black,76.08,5,false,0,76.08,FB002166,2025,Qtr 3,August,6,"",Summer,L,6
Banana Republic,Accessories,Black,69.74,4,true,0,69.74,FB000214,2025,Qtr 3,August,6,Changed Mind,Fall,L,11
Banana Republic,Accessories,Blue,28.66,2,false,39.8,47.61,FB000180,2024,Qtr 4,December,3,"",Spring,L,18
Banana Republic,Accessories,Blue,28.82,3,false,0,28.82,FB000389,2024,Qtr 4,October,23,"",Spring,L,30
Banana Republic,Accessories,Blue,17.54,4,false,44.1,31.37,FB000858,2024,Qtr 3,September,13,"",Spring,L,11
Banana Republic,Accessories,Blue,65.17,2,false,1.7,66.3,FB000878,2025,Qtr 3,August,6,"",Fall,L,28
Banana Republic,Accessories,Blue,66.62,3,false,0,66.62,FB001761,2024,Qtr 4,October,27,"",Spring,L,37
Banana Republic,Accessories,Brown,7.29,3,false,55.9,16.52,FB000050,2025,Qtr 3,August,6,"",Summer,L,43
Banana Republic,Accessories,Brown,34.45,5,false,0,34.45,FB000112,2025,Qtr 3,August,6,"",Winter,L,4
Banana Republic,Accessories,Brown,35.2,2,false,51.3,72.28,FB000514,2025,Qtr 1,February,15,"",Spring,L,31
Banana Republic,Accessories,Brown,20.73,2,false,58.3,49.72,FB000678,2025,Qtr 3,August,6,"",Fall,L,4
Banana Republic,Accessories,Brown,20.97,5,false,0,20.97,FB001949,2025,Qtr 3,August,6,"",Winter,L,44
Banana Republic,Accessories,Gray,67.93,5,false,0,67.93,FB000266,2025,Qtr 3,August,6,"",Summer,L,22
Banana Republic,Accessories,Gray,60.22,3,false,0,60.22,FB000384,2025,Qtr 3,August,6,"",Summer,L,6
Banana Republic,Accessories,Gray,48.57,5,false,0,48.57,FB000659,2024,Qtr 4,December,6,"",Spring,L,12
Banana Republic,Accessories,Gray,77.78,3,true,0,77.78,FB001142,2025,Qtr 3,July,7,Size Issue,Spring,L,23
Banana Republic,Accessories,Green,74.32,3,false,0,74.32,FB000404,2025,Qtr 3,August,6,"",Winter,L,4
Banana Republic,Accessories,Green,38.34,2,false,0,38.34,FB000442,2025,Qtr 3,August,6,"",Winter,L,14
Banana Republic,Accessories,Green,51.58,4,false,8.1,56.13,FB001593,2025,Qtr 3,August,6,"",Winter,L,12
Banana Republic,Accessories,Green,44.7,4,false,0,44.7,FB001624,2025,Qtr 1,March,17,"",Spring,L,29
Banana Republic,Accessories,Green,24.55,3,false,0,24.55,FB001918,2025,Qtr 3,August,6,"",Summer,L,43
Banana Republic,Accessories,Green,34.89,5,true,24.4,46.15,FB001289,2025,Qtr 3,August,6,Size Issue,Winter,L,31
Banana Republic,Accessories,Green,16.32,3,true,19.6,20.3,FB001698,2025,Qtr 3,August,6,Changed Mind,Summer,L,47
Banana Republic,Accessories,Navy,52.05,3,false,20.7,65.64,FB001098,2025,Qtr 3,August,6,"",Winter,L,20
Banana Republic,Accessories,Navy,19.68,2,true,0,19.68,FB001696,2025,Qtr 3,August,6,Size Issue,Summer,L,29
Banana Republic,Accessories,Pink,66,3,false,0,66,FB000615,2025,Qtr 3,August,6,"",Winter,L,19
Banana Republic,Accessories,Pink,47.51,5,false,0,47.51,FB001264,2025,Qtr 3,August,6,"",Winter,L,39
Banana Republic,Accessories,Purple,15.13,2,false,50,30.26,FB001749,2025,Qtr 3,August,6,"",Winter,L,23
Banana Republic,Accessories,Red,54.45,3,false,0,54.45,FB000206,2025,Qtr 3,August,6,"",Winter,L,12
Banana Republic,Accessories,Red,45.42,2,false,0,45.42,FB000445,2025,Qtr 3,August,6,"",Summer,L,36
Banana Republic,Accessories,Red,32.47,5,false,12.2,36.98,FB000901,2025,Qtr 3,August,6,"",Summer,L,14
Banana Republic,Accessories,Red,13.74,2,false,16.8,16.51,FB001188,2025,Qtr 3,August,6,"",Fall,L,47
Banana Republic,Accessories,Red,17.38,3,false,49.5,34.42,FB001602,2025,Qtr 3,August,6,"",Summer,L,26
Banana Republic,Accessories,White,51.3,3,false,0,51.3,FB000757,2025,Qtr 3,August,6,"",Winter,L,33
Banana Republic,Accessories,White,18.45,3,false,0,18.45,FB001158,2025,Qtr 3,August,6,"",Summer,L,39
Forever21,Accessories,Beige,23.74,3,false,52.8,50.3,FB000887,2025,Qtr 3,August,6,"",Summer,L,11
Forever21,Accessories,Beige,67.46,2,false,0,67.46,FB001224,2025,Qtr 3,August,6,"",Winter,L,28
Forever21,Accessories,Beige,16.64,5,false,0,16.64,FB001910,2025,Qtr 3,August,6,"",Summer,L,8
Forever21,Accessories,Black,30.44,3,false,0,30.44,FB001422,2025,Qtr 3,August,6,"",Fall,L,42
Forever21,Accessories,Black,24.71,3,false,0,24.71,FB001608,2025,Qtr 3,August,6,"",Fall,L,37
Forever21,Accessories,Black,42.96,2,false,0,42.96,FB001675,2025,Qtr 3,August,6,"",Fall,L,36
Forever21,Accessories,Black,57.1,3,true,0,57.1,FB001414,2025,Qtr 3,August,6,Wrong Item,Winter,L,28
Forever21,Accessories,Blue,31.32,3,false,0,31.32,FB000897,2025,Qtr 3,August,6,"",Winter,L,28
Forever21,Accessories,Blue,55.3,3,false,0,55.3,FB000952,2025,Qtr 3,August,6,"",Fall,L,17
Forever21,Accessories,Blue,31.51,3,false,40.2,52.69,FB000981,2024,Qtr 4,November,15,"",Spring,L,7
Forever21,Accessories,Blue,37.02,5,false,0,37.02,FB001161,2025,Qtr 3,August,6,"",Winter,L,12
Forever21,Accessories,Blue,44.73,2,false,0,44.73,FB001339,2025,Qtr 3,August,6,"",Fall,L,25
Forever21,Accessories,Blue,19.34,3,false,0,19.34,FB001967,2025,Qtr 3,August,6,"",Winter,L,19
Forever21,Accessories,Brown,39.67,2,false,16.4,47.45,FB000351,2025,Qtr 3,August,6,"",Summer,L,33
Forever21,Accessories,Brown,36.8,4,false,43,64.56,FB000892,2024,Qtr 3,August,6,"",Spring,L,36
Forever21,Accessories,Brown,27.7,5,false,0,27.7,FB002069,2025,Qtr 3,August,6,"",Summer,L,27
Forever21,Accessories,Gray,32.68,5,false,49.8,65.09,FB001526,2025,Qtr 3,August,6,"",Fall,L,32
Forever21,Accessories,Gray,21.07,4,false,18.8,25.95,FB002013,2025,Qtr 3,August,6,"",Fall,L,1
Forever21,Accessories,Gray,20.64,3,true,50.9,42.04,FB000205,2025,Qtr 3,August,6,Wrong Item,Summer,L,43
Forever21,Accessories,Gray,23.5,4,true,0,23.5,FB000804,2025,Qtr 3,August,6,Quality Issue,Winter,L,14
Forever21,Accessories,Green,73.85,2,false,0,73.85,FB000663,2025,Qtr 3,August,6,"",Fall,L,46
Forever21,Accessories,Green,19.56,4,false,0,19.56,FB001256,2025,Qtr 3,August,6,"",Summer,L,13
Forever21,Accessories,Green,45.52,2,false,0,45.52,FB002095,2025,Qtr 3,August,6,"",Summer,L,41
Forever21,Accessories,Green,32.15,2,true,0,32.15,FB000624,2025,Qtr 3,August,6,Quality Issue,Fall,L,17
Forever21,Accessories,Green,25.7,4,true,0,25.7,FB000681,2025,Qtr 3,August,6,Quality Issue,Winter,L,38
Forever21,Accessories,Green,35.64,5,true,0,35.64,FB000931,2025,Qtr 3,August,6,Color Mismatch,Summer,L,48
Forever21,Accessories,Navy,58.57,2,false,0,58.57,FB000035,2025,Qtr 3,August,6,"",Fall,L,38
Forever21,Accessories,Navy,25.34,4,false,0,25.34,FB000524,2025,Qtr 3,July,31,"",Spring,L,17
Forever21,Accessories,Navy,47.47,5,false,0,47.47,FB000735,2025,Qtr 3,August,6,"",Fall,L,42
Forever21,Accessories,Navy,63.98,2,false,0,63.98,FB001182,2025,Qtr 3,August,6,"",Fall,L,36
Forever21,Accessories,Navy,17.59,3,false,0,17.59,FB001805,2025,Qtr 3,August,6,"",Winter,L,14
Forever21,Accessories,Navy,8.23,2,false,47.6,15.71,FB002086,2025,Qtr 3,August,6,"",Summer,L,42
Forever21,Accessories,Navy,36.29,3,false,0,36.29,FB002131,2025,Qtr 3,August,6,"",Fall,L,47
Forever21,Accessories,Navy,69.77,3,true,0,69.77,FB000666,2025,Qtr 3,August,6,Color Mismatch,Winter,L,30
Forever21,Accessories,Navy,45.19,2,true,0,45.19,FB001861,2025,Qtr 1,February,28,Wrong Item,Spring,L,38
Forever21,Accessories,Pink,48.41,4,false,29.4,68.57,FB000358,2025,Qtr 3,August,6,"",Winter,L,4
Forever21,Accessories,Pink,46.26,2,false,38.8,75.59,FB000959,2025,Qtr 1,March,29,"",Spring,L,43
Forever21,Accessories,Pink,32.04,2,false,0,32.04,FB001703,2025,Qtr 3,August,6,"",Summer,L,41
Forever21,Accessories,Pink,32.9,3,true,44.6,59.39,FB000762,2025,Qtr 3,August,6,Color Mismatch,Summer,L,41
Forever21,Accessories,Pink,39.9,3,true,0,39.9,FB002081,2025,Qtr 3,August,6,Damaged,Winter,L,6
Forever21,Accessories,Purple,52.45,3,false,0,52.45,FB000243,2025,Qtr 3,August,6,"",Winter,L,34
Forever21,Accessories,Purple,43.45,4,false,0,43.45,FB000748,2025,Qtr 3,August,6,"",Winter,L,50
Forever21,Accessories,Purple,55.74,2,true,25.9,75.22,FB001008,2025,Qtr 3,August,6,Color Mismatch,Fall,L,31
Forever21,Accessories,Red,23.13,2,false,29.1,32.62,FB000609,2025,Qtr 3,July,27,"",Spring,L,9
Forever21,Accessories,Red,37.94,5,false,0,37.94,FB000746,2024,Qtr 4,October,8,"",Spring,L,9
Forever21,Accessories,Red,71.3,3,false,0,71.3,FB000886,2025,Qtr 3,August,6,"",Winter,L,29
Forever21,Accessories,Red,75.09,4,false,0,75.09,FB000974,2025,Qtr 3,August,6,"",Winter,L,41
Forever21,Accessories,Red,38.86,3,false,0,38.86,FB002020,2025,Qtr 3,August,6,"",Winter,L,44
Forever21,Accessories,Red,47.6,5,true,0,47.6,FB001586,2025,Qtr 3,August,6,Wrong Item,Summer,L,24
Forever21,Accessories,White,45.66,2,false,1.1,46.17,FB000063,2025,Qtr 3,August,6,"",Winter,L,30
Forever21,Accessories,White,24.41,5,false,18.4,29.91,FB001308,2025,Qtr 1,March,3,"",Spring,L,10
Forever21,Accessories,White,71.3,2,false,0,71.3,FB002074,2025,Qtr 3,August,6,"",Summer,L,21
Forever21,Accessories,White,21.09,5,true,0,21.09,FB000750,2025,Qtr 3,August,6,Size Issue,Fall,L,33
Gap,Accessories,Beige,76.94,5,false,0,76.94,FB000330,2025,Qtr 2,June,13,"",Spring,L,21
Gap,Accessories,Black,54.79,5,false,0,54.79,FB000096,2025,Qtr 3,August,6,"",Summer,L,12
Gap,Accessories,Black,43.58,2,false,44.7,78.81,FB000328,2024,Qtr 3,September,13,"",Spring,L,34
Gap,Accessories,Black,79.6,3,false,0,79.6,FB001103,2025,Qtr 3,August,6,"",Fall,L,22
Gap,Accessories,Black,75.83,2,false,0,75.83,FB001560,2025,Qtr 3,August,6,"",Fall,L,8
Gap,Accessories,Black,58.99,3,false,0,58.99,FB001799,2025,Qtr 3,August,6,"",Winter,L,50
Gap,Accessories,Black,44.28,3,false,38,71.42,FB001839,2025,Qtr 3,August,6,"",Summer,L,49
Gap,Accessories,Black,68.2,4,false,0,68.2,FB002163,2025,Qtr 2,April,5,"",Spring,L,2
Gap,Accessories,Blue,17.7,4,false,0,17.7,FB000307,2025,Qtr 3,August,6,"",Summer,L,42
Gap,Accessories,Blue,17.17,2,false,19,21.2,FB000946,2025,Qtr 3,August,6,"",Fall,L,22
Gap,Accessories,Blue,40.82,3,false,44,72.9,FB001374,2025,Qtr 3,August,6,"",Winter,L,25
Gap,Accessories,Blue,56.06,4,false,7.3,60.48,FB001610,2025,Qtr 3,August,6,"",Fall,L,46
Gap,Accessories,Blue,59.94,4,false,0,59.94,FB001845,2025,Qtr 3,August,6,"",Summer,L,7
Gap,Accessories,Blue,35.6,4,false,0,35.6,FB001973,2025,Qtr 3,August,6,"",Summer,L,24
Gap,Accessories,Brown,19.78,3,false,59.9,49.33,FB000784,2025,Qtr 3,August,6,"",Summer,L,47
Gap,Accessories,Brown,68.56,3,false,0,68.56,FB001059,2025,Qtr 3,August,6,"",Summer,L,2
Gap,Accessories,Brown,27.65,5,false,29.8,39.39,FB001479,2025,Qtr 3,August,6,"",Summer,L,13
Gap,Accessories,Gray,72.24,5,false,0,72.24,FB000675,2025,Qtr 3,August,6,"",Winter,L,35
Gap,Accessories,Gray,42.63,4,false,41,72.26,FB001379,2025,Qtr 3,August,6,"",Winter,L,43
Gap,Accessories,Gray,18,4,false,49.9,35.93,FB001440,2025,Qtr 3,August,6,"",Summer,L,26
Gap,Accessories,Gray,41.62,3,false,0,41.62,FB002092,2025,Qtr 3,August,6,"",Summer,L,33
Gap,Accessories,Gray,57.25,5,false,0,57.25,FB002150,2025,Qtr 3,August,6,"",Summer,L,22
Gap,Accessories,Gray,50.69,2,true,15.6,60.06,FB000449,2025,Qtr 3,August,6,Color Mismatch,Winter,L,49
Gap,Accessories,Green,44.5,4,false,0,44.5,FB001457,2025,Qtr 2,June,13,"",Spring,L,36
Gap,Accessories,Green,55.25,3,false,6.4,59.03,FB001853,2025,Qtr 3,August,6,"",Fall,L,45
Gap,Accessories,Navy,25.45,3,false,40.6,42.84,FB000162,2024,Qtr 3,September,12,"",Spring,L,18
Gap,Accessories,Navy,33.49,3,false,21.5,42.66,FB000402,2025,Qtr 3,August,6,"",Fall,L,16
Gap,Accessories,Navy,21.54,4,false,44.8,39.02,FB000938,2025,Qtr 3,August,6,"",Winter,L,29
Gap,Accessories,Navy,22.45,5,false,58,53.46,FB001261,2025,Qtr 3,August,6,"",Fall,L,6
Gap,Accessories,Navy,23.2,3,false,0,23.2,FB001461,2025,Qtr 3,August,6,"",Winter,L,17
Gap,Accessories,Navy,61.47,3,false,0,61.47,FB001680,2024,Qtr 3,August,25,"",Spring,L,44
Gap,Accessories,Navy,37,5,false,0,37,FB001790,2025,Qtr 3,August,6,"",Winter,L,5
Gap,Accessories,Pink,47.92,4,false,13,55.08,FB000297,2025,Qtr 3,August,6,"",Summer,L,17
Gap,Accessories,Pink,69.59,2,false,0,69.59,FB000478,2024,Qtr 3,September,26,"",Spring,L,38
Gap,Accessories,Pink,55.52,3,false,18.3,67.95,FB000634,2025,Qtr 3,August,6,"",Summer,L,37
Gap,Accessories,Pink,77.96,5,false,0,77.96,FB001006,2025,Qtr 3,August,6,"",Summer,L,39
Gap,Accessories,Purple,15.51,2,false,29.2,21.9,FB000349,2025,Qtr 3,August,6,"",Summer,L,35
Gap,Accessories,Purple,16.57,3,false,0,16.57,FB000378,2025,Qtr 3,August,6,"",Fall,L,17
Gap,Accessories,Purple,25.72,5,false,35.4,39.82,FB000606,2025,Qtr 3,August,6,"",Summer,L,9
Gap,Accessories,Purple,21.45,2,false,7.1,23.09,FB000679,2025,Qtr 3,August,6,"",Winter,L,11
Gap,Accessories,Purple,39.41,4,false,13.5,45.56,FB001159,2025,Qtr 3,August,6,"",Summer,L,40
Gap,Accessories,Purple,79.48,4,false,0,79.48,FB001375,2025,Qtr 3,August,6,"",Winter,L,2
Gap,Accessories,Purple,61.01,4,false,0,61.01,FB001783,2025,Qtr 2,April,25,"",Spring,L,30
Gap,Accessories,Purple,47.74,3,false,0,47.74,FB002147,2024,Qtr 4,December,25,"",Spring,L,17
Gap,Accessories,Red,58.61,2,false,18.4,71.82,FB000653,2025,Qtr 3,August,6,"",Fall,L,50
Gap,Accessories,Red,79.94,4,false,0,79.94,FB000736,2025,Qtr 3,July,31,"",Spring,L,26
Gap,Accessories,Red,20.77,2,false,0,20.77,FB001005,2024,Qtr 3,August,17,"",Spring,L,31
Gap,Accessories,White,14.91,3,false,27.6,20.59,FB000486,2025,Qtr 3,August,6,"",Fall,L,36
Gap,Accessories,White,56.09,5,false,0,56.09,FB000873,2025,Qtr 3,August,6,"",Winter,L,21
Gap,Accessories,White,58.9,4,false,0,58.9,FB000950,2025,Qtr 3,August,6,"",Fall,L,39
Gap,Accessories,White,35.5,5,false,29.2,50.14,FB001042,2025,Qtr 1,February,4,"",Spring,L,33
Gap,Accessories,White,72.83,2,false,0,72.83,FB001091,2024,Qtr 4,November,26,"",Spring,L,6
Gap,Accessories,White,16.54,3,false,0,16.54,FB002028,2025,Qtr 2,April,26,"",Spring,L,30
H&M,Accessories,Beige,45.37,2,false,0,45.37,FB001359,2025,Qtr 3,August,6,"",Winter,L,19
H&M,Accessories,Beige,37.27,4,false,0,37.27,FB002063,2025,Qtr 3,August,6,"",Fall,L,15
H&M,Accessories,Black,24.64,5,false,0,24.64,FB000388,2025,Qtr 3,August,6,"",Fall,L,6
H&M,Accessories,Black,16.5,5,false,48.2,31.86,FB000529,2025,Qtr 3,August,6,"",Fall,L,32
H&M,Accessories,Black,45.95,2,false,8.7,50.33,FB000830,2025,Qtr 3,August,6,"",Winter,L,14
H&M,Accessories,Black,24.5,3,false,0,24.5,FB001460,2025,Qtr 3,August,6,"",Winter,L,7
H&M,Accessories,Blue,24.1,3,false,40.5,40.5,FB000587,2025,Qtr 3,August,6,"",Summer,L,25
H&M,Accessories,Blue,16.21,5,false,40.4,27.2,FB001429,2024,Qtr 3,August,19,"",Spring,L,20
H&M,Accessories,Blue,69.73,2,true,0,69.73,FB000806,2025,Qtr 3,August,6,Color Mismatch,Fall,L,7
H&M,Accessories,Brown,18.63,2,false,42.9,32.63,FB000399,2025,Qtr 3,August,6,"",Winter,L,5
H&M,Accessories,Brown,44.09,2,false,0,44.09,FB000508,2025,Qtr 3,August,6,"",Summer,L,2
H&M,Accessories,Brown,71.19,3,false,0,71.19,FB000864,2025,Qtr 3,August,6,"",Summer,L,14
H&M,Accessories,Gray,46.46,3,false,0,46.46,FB000462,2025,Qtr 3,August,6,"",Winter,L,30
H&M,Accessories,Gray,73.6,2,false,0,73.6,FB000702,2025,Qtr 3,August,6,"",Summer,L,1
H&M,Accessories,Gray,62.69,4,false,8.1,68.22,FB001038,2025,Qtr 3,August,6,"",Summer,L,28
H&M,Accessories,Gray,50.2,2,false,27.9,69.62,FB001220,2025,Qtr 3,August,6,"",Summer,L,5
H&M,Accessories,Gray,43.88,2,false,19.2,54.31,FB001695,2025,Qtr 3,August,6,"",Fall,L,19
H&M,Accessories,Green,23.11,2,false,0,23.11,FB000164,2024,Qtr 3,September,17,"",Spring,L,2
H&M,Accessories,Green,52.41,3,false,0,52.41,FB000578,2025,Qtr 3,August,6,"",Fall,L,14
H&M,Accessories,Green,46.97,3,false,0,46.97,FB000888,2025,Qtr 1,February,24,"",Spring,L,33
H&M,Accessories,Green,79.04,5,false,0,79.04,FB001407,2024,Qtr 4,October,3,"",Spring,L,28
H&M,Accessories,Green,26.26,3,false,0,26.26,FB001810,2025,Qtr 3,August,6,"",Fall,L,27
H&M,Accessories,Green,49.84,3,true,32.2,73.51,FB000844,2025,Qtr 3,August,6,Wrong Item,Winter,L,17
H&M,Accessories,Green,52.57,3,true,0,52.57,FB001881,2025,Qtr 3,August,6,Damaged,Winter,L,50
H&M,Accessories,Navy,67.67,4,false,0,67.67,FB001044,2024,Qtr 3,September,25,"",Spring,L,7
H&M,Accessories,Navy,46.94,4,false,24.6,62.26,FB001207,2025,Qtr 3,August,6,"",Winter,L,33
H&M,Accessories,Navy,34.99,5,false,32.2,51.61,FB001333,2025,Qtr 3,August,6,"",Winter,L,34
H&M,Accessories,Navy,79.69,2,false,0,79.69,FB001542,2025,Qtr 3,August,6,"",Winter,L,44
H&M,Accessories,Navy,50.12,3,false,0,50.12,FB001653,2025,Qtr 1,March,9,"",Spring,L,27
H&M,Accessories,Pink,45.18,3,false,16,53.79,FB000903,2024,Qtr 4,October,1,"",Spring,L,32
H&M,Accessories,Pink,20.94,4,false,41.2,35.62,FB000930,2025,Qtr 1,March,20,"",Spring,L,4
H&M,Accessories,Pink,17.72,2,false,0,17.72,FB000933,2025,Qtr 3,August,6,"",Fall,L,9
H&M,Accessories,Pink,31.97,2,false,39.4,52.76,FB001771,2025,Qtr 3,August,6,"",Summer,L,0
H&M,Accessories,Purple,62.84,4,false,8,68.3,FB001272,2025,Qtr 3,August,6,"",Fall,L,18
H&M,Accessories,Purple,46.91,3,false,18,57.21,FB001778,2025,Qtr 3,August,6,"",Fall,L,7
H&M,Accessories,Red,42.33,3,false,19.1,52.33,FB000237,2025,Qtr 3,August,6,"",Fall,L,4
H&M,Accessories,Red,39.19,4,false,24.3,51.77,FB000290,2025,Qtr 3,August,6,"",Summer,L,50
H&M,Accessories,Red,33.77,5,false,54.2,73.73,FB001472,2025,Qtr 3,August,6,"",Fall,L,37
H&M,Accessories,Red,39.96,3,false,0,39.96,FB001816,2025,Qtr 3,August,6,"",Winter,L,49
H&M,Accessories,Red,22.68,4,true,37.6,36.35,FB000370,2025,Qtr 3,August,6,Changed Mind,Fall,L,49
H&M,Accessories,White,57.07,2,false,8.8,62.58,FB001811,2024,Qtr 4,November,6,"",Spring,L,1
