BrandName,Category,Deatils.2,Deatils.1.1,Discount,Sum of MRP,Sum of SellPrice,Sizes
109f,top, black,womens v-neck solid,60% off,1199,479," L,M,S,XS"
109f,top, blue,womens off shoulder neck embroidered,60% off,1499,599," L,M,S,XL,XXL"
109f,top, blue,womens tie up neck striped,80% off,2499,499, XS
109f,top, blush,womens round neck printed ruffled,60% off,1399,559," M,S"
109f,top, blush,womens round neck solid,60% off,1499,599, XL
109f,top, carrot,womens tie up neck solid,62% off,1699,639," L,M,S,XS"
109f,top, coral,womens round neck embroidered,60% off,1399,559, S
109f,top, cream,womens notched neck embroidered,60% off,1699,679," XL,XXL,XXXL"
109f,top, cream,womens off shoulder embroidered,60% off,1699,679," L,M,S,XL,XXL"
109f,top, cream,womens round neck embroidered,60% off,1199,479," L,M,S,XL,XXL"
109f,top, cream,womens round neck embroidered,60% off,1999,799," L,M,S,XL,XXL,XXXL"
109f,top, cream,womens tie up neck solid,60% off,1799,719," L,M,XL,XXL,XXXL"
109f,top, dark brown,womens scoop neck lace,60% off,1799,719," L,M,S,XL,XS,XXL"
109f,top, green,womens round neck solid,60% off,1399,559," L,XL"
109f,top, green,womens round neck textured,60% off,999,399, XXL
109f,top, grey,womens round neck floral print,60% off,1299,519, XS
109f,top, grey,womens round neck slub,60% off,1499,599," XL,XS"
109f,top, grey,womens round neck slub embroidered peplum,60% off,1399,559," L,S,XL,XXL"
109f,top, lime green,womens round neck floral print,60% off,1499,599," L,S"
109f,top, natural,womens round neck solid,60% off,1199,479," L,XL"
109f,top, natural,womens ruffled collar self printed,60% off,1499,599," L,M,S,XL,XXL"
109f,top, natural,womens spaghetti neck printed,60% off,1299,519," L,M,S,XL,XXL"
109f,top, navy,womens off shoulder neck checked,60% off,1299,519," S,XL"
109f,top, navy,womens off shoulder neck solid,60% off,1499,599," M,XS"
109f,top, navy,womens tie up neck printed,60% off,999,399, XL
109f,top, pink,womens round neck lace,60% off,1799,719, XL
109f,top, red,womens off shoulder stripe embroidered,60% off,999,399," L,M,S"
109f,top, white,womens round neck solid embroidered,60% off,1399,559, S
109f,top, yellow,womens round neck self printed,60% off,1299,519," L,M,S,XL,XXL"
109f,top, yellow,womens round neck slub,60% off,1499,599," L,M,S"
109f,top, yellow,womens round neck solid,60% off,1499,599, XL
109f,trousers, green,womens 2 pocket solid,60% off,1499,599, XS
109f,tunic, yellow,womens round neck floral print,60% off,1799,719, M
4711,ml,,ekw eau de cologne 400,20% off,3900,3120,Nan
aarke,top, red,printed shirt collar rayon slub womens,40% off,1900,1140, M
abercrombie & fitch,ml,,womens authentic eau de parfum 100,10% off,4900,4410,Nan
abercrombie & fitch,ml,,womens first instinct sheer eau de parfum 100,10% off,4500,4050,Nan
abercrombie & fitch,parfum, 100ml,first instinct eau de,30% off,5700,3990,Nan
abercrombie & fitch,parfum, 100ml,womens first instinct blue eau de,30% off,5700,3990,Nan
adidas,bra, black,printed polyester knit womens sports,30% off,3599,2519," L,M,S,XS"
adidas,bra, black,printed polyester regular fit womens sports,30% off,2499,1749," S,XL,XS"
adidas,bra, black,solid polyester regular fit womens sports,50% off,2999,1499," L,M,S,XL,XS"
adidas,bra, black,striped polyester fitted womens sports,30% off,3599,2519," S,XS"
adidas,bra, blue,printed polyester knit womens sports,30% off,2999,2099," L,M,S,XL"
adidas,bra, blue,printed polyester knit womens sports,30% off,2299,1609," L,M,S,XL,XS"
adidas,bra, burgundy,stripes polyester womens sports,30% off,3599,2519," L,M,S,XL"
adidas,bra, grey,printed polyester fitted womens sports,30% off,2499,1749," L,M,S,XL,XS"
adidas,bra, grey,printed polyester knit womens sports,30% off,2799,1959," L,M,S,XL,XS"
adidas,bra, grey,solid polyester regular fit womens sports,30% off,2699,1889," L,M,S,XL,XS"
adidas,bra, grey,stripes polyester fitted womens sports,30% off,2799,1959," L,M,S,XL"
adidas,bra, magenta,printed polyester slim fit womens sports,30% off,1999,1399," L,M,S,XL,XS"
adidas,bra, navy,printed polyester knit womens sports,30% off,3299,2309," L,M,S,XL,XS"
adidas,bra, pink,printed polyester knit womens sports,30% off,1799,1259," L,M,S,XL"
adidas,bra, pink,solid polyester regular fit womens sports,30% off,2699,1889," L,M,S,XL,XS"
adidas,bra, pink,solid polyester regular fit womens sports,50% off,2499,1249," L,M,S,XL,XS"
adidas,bra, purple,printed polyester fitted womens sports,30% off,2699,1889," L,M,S,XL"
adidas,bra, purple,solid polyester regular fit womens sports,30% off,2699,1889," L,M,S,XL,XS"
adidas,bra, purple,stripes polyester fitted womens sports,30% off,3599,2519," L,M,S,XL"
adidas,bra, red,printed polyester fitted womens sports,30% off,2299,1609," L,M,S,XL"
adidas,bra, white,printed polyester fitted womens sports,30% off,2299,1609," L,M,S,XL,XS"
adidas,dress, black,printed nylon round neck womens,50% off,1999,999," 116,128,140,SIZE_152,SIZE_164"
adidas,dress, blush,solid polyester womens,30% off,3999,2799," L,M,S,XS"
adidas,dress, ink,printed cotton hood womens,50% off,2999,1499," 62,68,74,80"
adidas,dress, purple,striped cotton round neck womens,50% off,2299,1149," 74,80,86,92,98,104"
adidas,dress, red,striped cotton round neck womens,50% off,3299,1649," 62,68,74,86,98"
adidas,leggings, black,regular fit regular length polyester blend womens,50% off,3999,1999," L,M,S,XL,XS"
adidas,pants, black,printed regular fit cotton womens track,30% off,3799,2659," L,M"
adidas,pants, black,solid fitted fit polyester womens track,30% off,2699,1889," XL,XXL,XXXL"
adidas,pants, black,solid fitted fit polyester womens track,50% off,2699,1349," L,M,S,XL,XS"
adidas,pants, black,solid slim fit cotton womens casual wear track,30% off,1999,1399," M,S,XL,XS"
adidas,pants, black,solid tight fit polyester womens track,30% off,5798,4058," L,M,S,XL,XS"
adidas,pants, black,striped fitted fit polyester womens track,50% off,2499,1249," XL,XXL,XXXL"
adidas,pants, black,striped regular fit blended womens active wear track,50% off,2299,1149, XL
adidas,pants, black,striped regular fit polyester womens track,30% off,3299,2309," L,M,S,XL,XS"
adidas,pants, black,stripes polyester slim fit womens,50% off,2499,1249," L,M,S,XL,XS"
adidas,pants, black,stripes polyester slim fit womens casual,30% off,2699,1889," L,M,S,XL,XS"
adidas,pants, black,stripes regular cotton womens sports wear,30% off,1499,1049," 36,40,48"
adidas,pants, blue,printed regular fit polyester womens track,30% off,2999,2099," L,M,S,XL,XS"
adidas,pants, blue,solid tight fit polyester womens track,30% off,3299,2309," L,M,S,XL,XS"
adidas,pants, blue,stripes slim fit polyester womens athleisure track,30% off,2499,1749," L,M,S,XL,XS"
adidas,pants, carbon,stripes regular cotton womens sports wear,30% off,1499,1049," 32,36,40,44"
adidas,pants, grey,stripes slim cotton womens casual wear,30% off,2799,1959," L,M,S,XL"
adidas,pants, legend blue,printed regular polyester womens sports wear,30% off,1799,1259," 36,40,44"
adidas,pants, navy,printed tight fit polyester womens track,50% off,2499,1249," L,M,S,XL,XS"
adidas,pants, red,printed regular fit polyester womens track,30% off,2999,2099," L,M,S,XL,XS"
adidas,pants, red,stripes slim fit cotton womens casual wear track,30% off,1799,1259," L,M,S,XL,XS"
adidas,shorts, black,regular fit polyester womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,shorts, black,regular fit polyester womens casual,30% off,2699,1889," L,M,XL"
adidas,shorts, black,solid regular fit polyester womens active wear,30% off,1799,1259," L,M,S,XL,XS"
adidas,shorts, black,striped regular fit cotton womens,30% off,2499,1749," L,M,S,XS"
adidas,shorts, black,striped slim fit polyester womens,50% off,2499,1249," L,M,S,XL,XS"
adidas,shorts, grey,striped slim fit polyester womens,50% off,1799,899, XL
adidas,shorts, navy,fitted polyester womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,shorts, red,fitted polyester womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,shorts, red,solid regular fit polyester womens active wear,50% off,1799,899," L,M,S,XL,XS"
adidas,skirt, black,solid regular fit polyester womens,50% off,2499,1249," L,M,S,XS"
adidas,sweatshirt, purple,solid round neck polyester womens,30% off,2999,2099," L,M,S,XL"
adidas,tights, black,printed fitted fit polyester womens,50% off,2299,1149," 116,128,140,SIZE_152,SIZE_170"
adidas,tights, black,printed polyester fitted womens casual,30% off,7798,5458," L,M,S,XL"
adidas,tights, black,printed polyester fitted womens casual,30% off,3299,2309," L,M,S,XL,XS"
adidas,tights, black,regular fit cotton womens active wear,50% off,1599,799," S,XS"
adidas,tights, black,regular fit polyester womens active wear,50% off,2799,1399," L,M,S,XL,XS"
adidas,tights, black,solid fitted fit polyester womens,50% off,1999,999," M,S,XL,XS"
adidas,tights, black,solid regular fit blended womens active wear,50% off,2499,1249," L,M,S,XS"
adidas,tights, black,solid tight fit polyester womens,30% off,4799,3359," L,S"
adidas,tights, black,solid tight fit polyester womens,50% off,3299,1649," L,M,XL,XS"
adidas,tights, black,striped regular fit blended womens sports,50% off,1799,899, XS
adidas,tights, black,stripes cotton regular fit womens,30% off,2699,1889," 110,116,128,140"
adidas,tights, black,stripes polyester fitted womens casual,30% off,3799,2659," L,M,S,XL,XS"
adidas,tights, black,stripes regular cotton womens sports wear,30% off,3999,2799," L,M,S,XS"
adidas,tights, blue,printed cotton fitted womens casual,30% off,1799,1259," L,M,XS"
adidas,tights, blue,printed polyester fitted womens casual,30% off,2799,1959," L,M,S,XL,XS"
adidas,tights, grey,printed polyester fitted womens casual,30% off,3299,2309," L,M,S,XL,XS"
adidas,tights, grey,solid polyester fitted womens casual,30% off,4299,3009," L,M,S,XL,XS"
adidas,tights, grey,stripes cotton fitted womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,tights, grey,stripes cotton regular fit womens,30% off,2699,1889," 110,116,128,140"
adidas,tights, mauve,printed cotton regular fit womens,30% off,2799,1959," 128,140"
adidas,tights, multi,printed cotton skinny fit womens,30% off,3299,2309," L,M,S,XL,XS"
adidas,tights, navy,printed regular fit blended womens active wear,50% off,1999,999," S,XS"
adidas,tights, navy,solid polyester fitted womens casual,30% off,4299,3009," L,M,S,XL,XS"
adidas,tights, pink,printed polyester fitted womens casual,30% off,2299,1609," L,M,S,XL,XS"
adidas,tights, pink,printed regular fit polyester womens active wear,50% off,2499,1249," S,XS"
adidas,tights, pink,solid polyester fitted womens casual,30% off,2999,2099," L,M,S,XL,XS"
adidas,tights, pink,striped slim fit polyester womens,50% off,1999,999," 104,110,116,128,140,SIZE_164,SIZE_170"
adidas,tights, pink,stripes cotton fitted womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,tights, red,printed polyester fitted womens casual,30% off,1799,1259," L,M,S,XL,XS"
adidas,tights, white,printed fitted fit polyester womens,50% off,2999,1499," 128,140,SIZE_152,SIZE_164"
adidas,top, purple,printed polyester crew neck womens,30% off,1799,1259," L,M,S,XL,XS"
adidas,top, red,solid polyester round neck womens tank,30% off,2699,1889," L,M,S,XL,XS"
adidas,t-shirt, black,printed cotton crew neck womens,30% off,1999,1399, 28
adidas,t-shirt, black,printed cotton round neck womens,30% off,1199,839," L,M,S"
adidas,t-shirt, black,printed cotton round neck womens,30% off,1999,1399," M,S"
adidas,t-shirt, black,printed crew neck cotton womens,30% off,1799,1259," M,S,XL,XS"
adidas,t-shirt, black,printed polyester crew neck womens,30% off,7597,5317," L,M,S,XL,XS"
adidas,t-shirt, black,printed polyester crew neck womens,30% off,1499,1049," M,S,XL,XS"
adidas,t-shirt, black,printed round neck polyester womens,30% off,1799,1259," L,M,S,XS"
adidas,t-shirt, black,solid cotton blend round neck womens regular fit,50% off,1199,599," L,M,S,XL,XS"
adidas,t-shirt, black,solid polyester polo collar womens,50% off,1499,749," L,M,S,XL,XS"
adidas,t-shirt, black,solid polyester round neck womens,30% off,1799,1259," L,M,S,XL"
adidas,t-shirt, black,solid polyester round neck womens,30% off,1499,1049, M
adidas,t-shirt, black,solid polyester round neck womens,50% off,1599,799," L,M,S,XL,XS"
adidas,t-shirt, black,striped polyester round neck womens,50% off,2999,1499," L,M,XL"
adidas,t-shirt, black,stripes crew neck polyester womens,30% off,1399,979," L,M,S,XS"
adidas,t-shirt, blue,printed cotton round neck womens,30% off,1299,909," L,M,S,XL,XS"
adidas,t-shirt, blue,printed crew neck polyester womens,30% off,2299,1609," L,M,S,XL,XS"
adidas,t-shirt, blue,solid cotton round neck womens,50% off,1599,799," L,M,S,XL,XS"
adidas,t-shirt, blue,solid round neck polyester womens,30% off,1799,1259," L,M,S,XL,XS"
adidas,t-shirt, burgundy,printed crew neck polyester womens,30% off,2299,1609," L,M,S,XL,XS"
adidas,t-shirt, burgundy,solid polyester crew neck womens,30% off,2699,1889," L,M,S,XL,XS"
adidas,t-shirt, carbon,printed polyester v neck womens,30% off,1799,1259," 128,140"
adidas,t-shirt, green,printed cotton round neck womens,30% off,1199,839," M,XS"
adidas,t-shirt, green,printed crew neck cotton womens,30% off,1799,1259," L,M,S,XL,XS"
adidas,t-shirt, green,printed crew neck polyester womens,30% off,1799,1259," L,M,S"
adidas,t-shirt, green,solid crew neck polyester womens,30% off,2299,1609," L,M,S,XL,XS"
adidas,t-shirt, green,solid polyester round neck womens,30% off,2299,1609," L,M,S,XL"
adidas,t-shirt, grey,solid blended round neck womens,50% off,2999,1499," L,M,S,XL,XS"
adidas,t-shirt, grey,stripes crew neck polyester womens,30% off,1399,979," L,M,S,XS"
adidas,t-shirt, lemon,printed cotton crew neck womens,30% off,2499,1749," L,M,S,XL,XS"
adidas,t-shirt, mauve,printed polyester crew neck womens,30% off,3299,2309," L,M,S,XL"
adidas,t-shirt, mauve,printed polyester crew neck womens,30% off,2299,1609," L,M,S,XL,XS"
adidas,t-shirt, mauve,printed polyester round neck womens,30% off,1799,1259," L,M,S,XS"
adidas,t-shirt, mauve,stripes cotton crew neck womens,30% off,1999,1399," 28,32"
adidas,t-shirt, mauve,stripes polyester crew neck womens,30% off,2299,1609," L,M,S,XL,XS"
adidas,t-shirt, orange,printed cotton round neck womens,30% off,1999,1399," L,M,S,XL"
adidas,t-shirt, orange,printed cotton round neck womens,30% off,1999,1399, XS
adidas,t-shirt, pink,cotton round neck womens,50% off,1199,599," 110,116,128,140,SIZE_152,SIZE_164,SIZE_170"
adidas,t-shirt, pink,solid cotton round neck womens,50% off,1599,799," L,M,S,XL,XS"
adidas,t-shirt, pink,solid polyester round neck womens,30% off,1599,1119," L,M,S,XS"
adidas,t-shirt, purple,solid crew neck polyester womens,30% off,2299,1609," L,M,S,XS"
adidas,t-shirt, purple,solid polyester crew neck womens,30% off,2999,2099," M,XL"
adidas,t-shirt, purple,solid polyester round neck womens,30% off,2299,1609, L
adidas,t-shirt, purple,solid polyester round neck womens,30% off,1599,1119, S
adidas,t-shirt, red,printed polyester crew neck womens,30% off,1599,1119," 110,116,128,140"
adidas,t-shirt, red,solid polyester round neck womens,30% off,1599,1119," L,M,S,XS"
adidas,t-shirt, red,solid polyester round neck womens,30% off,1799,1259," L,S,XL"
adidas,t-shirt, rust,printed cotton crew neck womens,30% off,1999,1399," 28,32,36,40"
adidas,t-shirt, white,cotton round neck womens,50% off,1199,599," 110,116,128,140,SIZE_152,SIZE_164,SIZE_170"
adidas,t-shirt, white,printed cotton round neck womens,30% off,3098,2168," L,M,S,XL,XS"
adidas,t-shirt, white,printed cotton round neck womens,30% off,1399,979," L,S,XL,XS"
adidas,t-shirt, white,printed cotton round neck womens,50% off,1799,899," 104,110,116,128,140"
adidas,t-shirt, white,printed polyester crew neck womens,30% off,1499,1049," L,M,S,XL,XS"
adidas,t-shirt, white,printed regular fit polyester womens sports,50% off,1599,799," L,M,S,XL,XS"
adidas,t-shirt, white,solid polyester crew neck womens,30% off,2699,1889," L,M,S,XL,XS"
adidas,t-shirt, white,solid polyester round neck womens,50% off,1799,899," L,M,S,XL"
adidas,t-shirt, white,solid polyester round neck womens regular fit,50% off,2499,1249, L
adidas,t-shirt, white,striped cotton round neck womens,50% off,1999,999," 92,98,104,110,116,122,128,134"
aigner,women, 100ml,debut by night eau de perfume for,30% off,5900,4130,Nan
aigner,women, 100ml,too feminine edp for,30% off,4950,3465,Nan
ajmal,100ml,,unisex ascend eau de parfum,20% off,600,480,Nan
ajmal,100ml,,womens neea eau de parfum,20% off,600,480,Nan
ajmal,20ml,,mens yearn eau de parfum,20% off,600,480,Nan
ajmal,75ml,,edp simera avrio,50% off,2999,1499,Nan
ajmal,ml,,mens bastion onyx eau de parfum 100,20% off,1500,1200,Nan
ajmal,ml,,mens oud musk eau de perfum 100,25% off,2200,1650,Nan
ajmal,ml,,womens daisy eau de parfum 100,25% off,2200,1650,Nan
ajmal,ml,,womens gianna eau de perfum 100,20% off,1500,1200,Nan
ajmal,perfume, 100 ml,womens bombay dreams edp floral,25% off,799,599,Nan
ajmal,perfume, 50 ml,womens sacred love edp floral,20% off,1200,960,Nan
ajmal,perfume, 75 ml,womens bling edp oriental,50% off,5500,2750,Nan
ajmal,perfume, 75 ml,womens evoke gold edition her edp fruity,50% off,3750,1875,Nan
ajmal,perfume, 75 ml,womens evoke silver edition her edp citrus,50% off,3300,1650,Nan
ajmal,perfume, 75 ml,womens shine edp fruity,25% off,2300,1725,Nan
allen solly,3, white,printed cotton mens face mask - pack of,58% off,599,249,Nan
allen solly,blazer, black,solid polyester cotton round neck womens formal,40% off,3999,2399," L,M,S,XL,XS,XXL"
allen solly,blazer, black,solid polyester regular fit womens,20% off,3999,3199," L,M,S,XL,XS,XXL"
allen solly,blazer, black,solid polyester regular fit womens,40% off,3799,2279," L,M,S,XL"
allen solly,blazer, black,solid polyester regular neck womens,26% off,3799,2799," L,M,S,XL,XS,XXL"
allen solly,blazer, black,solid rayon womens formal wear,40% off,3999,2399," L,XS"
allen solly,blazer, black,stripes polyester regular fit womens,26% off,3799,2799," L,M,S,XL,XS,XXL"
allen solly,blazer, black,textured polyester womens formal wear,20% off,3499,2799," L,M,S,XS,XXL"
allen solly,blazer, black,womens notched lapel solid,20% off,3799,3039," L,M,S,XL,XS,XXL,XXXL"
allen solly,blazer, dark green,checks polyester regular fit womens,20% off,3799,3039," L,M,S,XL,XS,XXL"
allen solly,blazer, dark green,solid polyester cotton round neck womens formal,40% off,3999,2399," L,M,S,XL,XS,XXL"
allen solly,blazer, grey,textured polyester regular neck womens,26% off,3799,2799," L,M,S,XL,XS,XXL"
allen solly,blazer, grey,womens lapel collar solid formal,20% off,3799,3039," XL,XXL"
allen solly,blazer, light blue,textured polyester regular fit womens,20% off,3499,2799," L,M,S,XL"
allen solly,blazer, ltgrey,checks polyester regular neck womens,20% off,3499,2799," L,M,S,XL,XS,XXL"
allen solly,blazer, ltgrey,solid polyester cotton round neck womens formal,40% off,3799,2279," L,M,S,XL,XS"
allen solly,blazer, maroon,textured cotton regular fit womens,20% off,3799,3039," L,M,S,XL"
allen solly,blazer, maroon,textured cotton regular fit womens,20% off,3799,3039," L,M,S,XL,XS,XXL"
allen solly,blazer, mid blue,checks polyester regular fit womens,20% off,3999,3199," L,M,S,XL"
allen solly,blazer, mid blue,checks polyester round neck womens,20% off,3499,2799," L,M,S,XL,XS,XXL"
allen solly,blazer, navy,checks polyester regular fit womens,20% off,3499,2799," L,M,S,XL"
allen solly,blazer, navy,checks polyester regular neck womens,26% off,3799,2799," L,M,S,XL,XS,XXL"
allen solly,dress, black,printed square neck polyester womens fit and flare,60% off,2899,1159," L,M,S,XL"
allen solly,dress, black,printed v-neck viscose womens fit and flare,40% off,2499,1499," L,M,S,XL,XS"
allen solly,dress, fuschia,womens round neck solid a-line,40% off,2299,1379, XS
allen solly,dress, grey,printed round neck viscose womens fit and flare,40% off,2299,1379," L,M,S,XL"
allen solly,dress, grey,printed stylized polyester womens fit and flare,40% off,2499,1499," L,M,S,XL"
allen solly,dress, grey,solid polyester regular neck womens,44% off,2699,1499," L,M,S,XL,XS"
allen solly,dress, grey,solid v-neck polyester womens fit and flare,40% off,2799,1679," L,M,S,XL,XXL"
allen solly,dress, ltgrey,prints round neck viscose womens regular,40% off,2499,1499," L,M,S,XS"
allen solly,dress, magenta,textured cotton regular neck womens,40% off,2299,1379," L,M,S,XL,XS,XXL"
allen solly,dress, maroon,solid round neck polyester womens regular,40% off,2299,1379," L,M,S,XL,XS,XXL"
allen solly,dress, mid blue,solid cotton regular neck womens,40% off,2499,1499," L,XS"
allen solly,dress, multi,prints round neck viscose womens regular,40% off,2499,1499," M,S,XS"
allen solly,dress, natural,solid square neck cotton linen womens regular,40% off,2499,1499," L,M"
allen solly,dress, navy,printed cotton regular neck womens,40% off,2299,1379," M,XS"
allen solly,dress, navy,printed polyester v neck womens,20% off,2499,1999," L,M,S,XL,XS,XXL"
allen solly,dress, navy,solid lyocell v neck womens,40% off,2499,1499," L,M,S,XL,XS,XXL"
allen solly,dress, navy,solid round neck viscose womens fit and flare knit,40% off,2299,1379," L,M,S,XS"
allen solly,dress, navy,solid v-neck rayon womens sheath,40% off,1999,1199," L,S,XS"
allen solly,dress, off white,solid cotton regular neck womens,40% off,2499,1499," XL,XS,XXL"
allen solly,dress, off white,solid polyester regular neck womens,30% off,3999,2799," L,M,S,XL,XS,XXL"
allen solly,dress, olive,solid v-neck polyester womens sheath,40% off,2999,1799," XS,XXXL"
allen solly,dress, peach,textured cotton round neck womens,20% off,2299,1839," L,M,S,XL,XS,XXL"
allen solly,dress, pink,printed polyester v neck womens,40% off,2699,1619, S
allen solly,dress, pink,solid hood polyester womens sheath,40% off,2499,1499, L
allen solly,dress, pink,solid polyester cotton round neck womens regular,40% off,2699,1619," M,S"
allen solly,dress, pink,solid round neck cotton womens regular fit,40% off,2499,1499, L
allen solly,dress, pink,solid round neck viscose womens fit and flare knit,35% off,2299,1499," L,M"
allen solly,dress, pink,womens round neck solid flared,40% off,2799,1679, XS
allen solly,dress, red,printed round neck rayon womens fit and flare,40% off,2499,1499," L,M,S,XL,XS,XXL"
allen solly,dress, white,printed viscose regular neck womens,40% off,2499,1499," L,M,S,XL,XS"
allen solly,dress, yellow,printed rayon regular neck womens,40% off,2499,1499," L,M,S,XL"
allen solly,dress, yellow,printed viscose regular neck womens,25% off,1999,1499," L,M,S"
allen solly,jacket, grey,solid polyester womens casual,40% off,5499,3299," XL,XXL"
allen solly,jacket, multi,solid polyester womens casual,40% off,5999,3599, XL
allen solly,jacket, navy,solid polyester cotton round neck womens formal,40% off,3799,2279," L,M,S,XL,XS,XXL"
allen solly,jeans, ltgrey,regular fit full length polyester cotton womens,40% off,1999,1199, 26
allen solly,jeans, mid blue,regular fit full length polyester cotton womens,40% off,2499,1499, 30
allen solly,jeans, mid blue,regular fit regular length womens,40% off,2499,1499, 34
allen solly,jeans, navy,regular fit regular length cotton blend womens,40% off,4598,2758, 26
allen solly,jeans, navy,womens skinny fit mild distressed,40% off,2199,1319, 26
allen solly,jeggings, maroon,womens solid,40% off,999,599," 28,30,32,34"
allen solly,jumpsuit, charcoal,solid viscose regular fit womens,20% off,3299,2639," L,M,S,XS"
allen solly,leggings, black,regular fit regular rayon womens,40% off,1599,959," 26,28,30,32"
allen solly,leggings, navy,regular fit regular rayon womens,40% off,1799,1079," 26,28,30,32"
allen solly,pants, black,solid rayon regular fit womens casual,25% off,1999,1499," 28,30,32"
allen solly,pants, charcoal,textured rayon regular fit womens casual,40% off,1999,1199," 28,30,32"
allen solly,pants, dark green,checks regular polyester womens formal wear,40% off,2299,1379," 26,28,30,32,34"
allen solly,pants, dark green,solid regular fit polyester cotton womens formal wear,40% off,1999,1199," 28,30,36"
allen solly,pants, ltgrey,checks polyester regular fit womens casual,35% off,2299,1499," 34,36"
allen solly,pants, mid blue,printed regular fit rayon womens,40% off,1799,1079," 26,28,30,32,34"
allen solly,pants, navy,solid polyester regular fit womens casual,25% off,1999,1499," 28,30,32,34"
allen solly,pants, navy,solid regular fit polyester cotton womens formal wear,40% off,1999,1199, 36
allen solly,pants, off white,solid cotton regular fit womens casual,38% off,1599,999," 26,28,30,32,34,36"
allen solly,pants, pink,textured cotton regular fit womens casual,35% off,2299,1499," 26,28,30,32,34,36"
allen solly,pants, red,solid cotton regular fit womens casual,40% off,1599,959," 26,28,30,32,34,36"
allen solly,shirt, black,printed polyester round neck womens,12% off,1699,1499," L,XL"
allen solly,shirt, black,solid polyester cotton round neck womens formal wear,40% off,1599,959," L,M,S,XL"
allen solly,shirt, black,womens collared printed,40% off,1599,959," L,S,XL,XS,XXL"
allen solly,shirt, black,womens collared solid,20% off,1599,1279," XS,XXL"
allen solly,shirt, black,womens mandarin collar solid,20% off,1499,1199," L,M,S,XL,XS,XXL"
allen solly,shirt, dark green,solid cotton v neck womens,20% off,2299,1839," L,M,S,XL,XS,XXL"
allen solly,shirt, grey,solid polyester v neck womens,20% off,2299,1839," L,M,S,XL,XS,XXL"
