Year,Quarter,Month,Day,Item Purchased,Count of Customer Reference ID,Payment Method,Sum of Review Rating,Sum of Purchase Amount (USD)
2022,Qtr 4,October,4,Trench Coat,1,Credit Card,4,157
2022,Qtr 4,October,5,Backpack,1,Cash,3,197
2022,Qtr 4,October,5,Blazer,1,Cash,3,125
2022,Qtr 4,October,5,Camisole,1,Credit Card,2,51
2022,Qtr 4,October,5,Flip-Flops,1,Cash,5,200
2022,Qtr 4,October,5,Overalls,1,Credit Card,5,146
2022,Qtr 4,October,5,Pajamas,1,Cash,2,62
2022,Qtr 4,October,5,Pajamas,1,Credit Card,4,70
2022,Qtr 4,October,5,Pants,1,Credit Card,3,43
2022,Qtr 4,October,5,Shorts,1,Credit Card,5,157
2022,Qtr 4,October,5,Skirt,1,Credit Card,4,25
2022,Qtr 4,October,5,Sun Hat,1,Cash,4,83
2022,Qtr 4,October,5,Trench Coat,1,Credit Card,2,85
2022,Qtr 4,October,5,Trousers,1,Credit Card,4,73
2022,Qtr 4,October,5,Umbrella,1,Credit Card,2,157
2022,Qtr 4,October,6,Boots,1,Cash,5,97
2022,Qtr 4,October,6,Coat,1,Cash,3,157
2022,Qtr 4,October,6,Gloves,1,Cash,3,157
2022,Qtr 4,October,6,Romper,1,Cash,2,127
2022,Qtr 4,October,6,Skirt,1,Cash,5,39
2022,Qtr 4,October,6,Sneakers,1,Credit Card,5,148
2022,Qtr 4,October,6,Swimsuit,1,Cash,4,157
2022,Qtr 4,October,7,Backpack,1,Cash,4,13
2022,Qtr 4,October,7,Belt,1,Credit Card,2,117
2022,Qtr 4,October,7,Blazer,1,Cash,2,120
2022,Qtr 4,October,7,Boots,1,Cash,2,88
2022,Qtr 4,October,7,Coat,1,Credit Card,3,90
2022,Qtr 4,October,7,Flannel Shirt,1,Cash,4,105
2022,Qtr 4,October,7,Jumpsuit,1,Credit Card,5,172
2022,Qtr 4,October,7,Leggings,1,Credit Card,4,45
2022,Qtr 4,October,7,Onesie,1,Cash,4,30
2022,Qtr 4,October,7,Onesie,1,Credit Card,3,142
2022,Qtr 4,October,7,Skirt,1,Credit Card,3,39
2022,Qtr 4,October,7,Sneakers,1,Credit Card,3,146
2022,Qtr 4,October,7,Tank Top,1,Credit Card,3,127
2022,Qtr 4,October,7,Vest,1,Cash,5,19
2022,Qtr 4,October,7,Vest,1,Credit Card,3,107
2022,Qtr 4,October,8,Backpack,1,Cash,4,150
2022,Qtr 4,October,8,Flip-Flops,1,Cash,4,136
2022,Qtr 4,October,8,Jeans,1,Cash,4,157
2022,Qtr 4,October,8,Jumpsuit,1,Cash,3,27
2022,Qtr 4,October,8,Leggings,1,Credit Card,3,157
2022,Qtr 4,October,8,Onesie,1,Credit Card,5,157
2022,Qtr 4,October,8,Sandals,2,Cash,7,285
2022,Qtr 4,October,8,Sneakers,1,Credit Card,3,76
2022,Qtr 4,October,8,Socks,1,Cash,3,43
2022,Qtr 4,October,8,Sun Hat,1,Cash,3,73
2022,Qtr 4,October,8,Sunglasses,1,Cash,2,11
2022,Qtr 4,October,8,Sunglasses,2,Credit Card,8,314
2022,Qtr 4,October,9,Belt,1,Cash,4,170
2022,Qtr 4,October,9,Belt,1,Credit Card,5,121
2022,Qtr 4,October,9,Blazer,1,Credit Card,3,143
2022,Qtr 4,October,9,Coat,1,Credit Card,4,49
2022,Qtr 4,October,9,Hoodie,1,Credit Card,3,75
2022,Qtr 4,October,9,Trousers,1,Cash,3,183
2022,Qtr 4,October,9,Umbrella,1,Credit Card,3,157
2022,Qtr 4,October,9,Wallet,1,Cash,5,93
2022,Qtr 4,October,10,Blazer,1,Credit Card,2,142
2022,Qtr 4,October,10,Handbag,1,Cash,5,192
2022,Qtr 4,October,10,Jacket,1,Credit Card,5,35
2022,Qtr 4,October,10,Leggings,1,Cash,5,33
2022,Qtr 4,October,10,Overalls,1,Credit Card,3,98
2022,Qtr 4,October,10,Polo Shirt,1,Cash,2,157
2022,Qtr 4,October,10,Raincoat,2,Cash,9,214
2022,Qtr 4,October,10,Tank Top,1,Cash,4,174
2022,Qtr 4,October,10,Tie,1,Credit Card,4,144
2022,Qtr 4,October,10,Trench Coat,2,Cash,7,259
2022,Qtr 4,October,10,Trench Coat,1,Credit Card,5,116
2022,Qtr 4,October,10,T-shirt,1,Credit Card,4,193
2022,Qtr 4,October,11,Backpack,1,Credit Card,2,27
2022,Qtr 4,October,11,Belt,1,Cash,5,30
2022,Qtr 4,October,11,Belt,1,Credit Card,4,42
2022,Qtr 4,October,11,Camisole,1,Credit Card,5,135
2022,Qtr 4,October,11,Hoodie,1,Credit Card,5,2653
2022,Qtr 4,October,11,Pants,2,Credit Card,7,211
2022,Qtr 4,October,11,Shorts,1,Credit Card,5,104
2022,Qtr 4,October,11,Socks,1,Credit Card,2,157
2022,Qtr 4,October,11,Trench Coat,1,Credit Card,5,116
2022,Qtr 4,October,11,Vest,1,Credit Card,3,10
2022,Qtr 4,October,12,Blouse,1,Cash,2,128
2022,Qtr 4,October,12,Coat,1,Credit Card,3,123
2022,Qtr 4,October,12,Pajamas,1,Credit Card,3,157
2022,Qtr 4,October,12,Raincoat,1,Credit Card,3,125
2022,Qtr 4,October,12,Trousers,1,Credit Card,2,106
2022,Qtr 4,October,12,T-shirt,1,Cash,3,31
2022,Qtr 4,October,13,Blazer,1,Credit Card,5,151
2022,Qtr 4,October,13,Flip-Flops,1,Cash,4,183
2022,Qtr 4,October,13,Hoodie,1,Credit Card,2,179
2022,Qtr 4,October,13,Kimono,1,Credit Card,4,161
2022,Qtr 4,October,13,Loafers,1,Cash,2,13
2022,Qtr 4,October,13,Onesie,1,Credit Card,4,70
2022,Qtr 4,October,13,Polo Shirt,1,Credit Card,5,157
2022,Qtr 4,October,13,Romper,1,Cash,4,157
2022,Qtr 4,October,13,Wallet,1,Credit Card,4,129
2022,Qtr 4,October,14,Blazer,1,Credit Card,4,47
2022,Qtr 4,October,14,Camisole,1,Cash,5,102
2022,Qtr 4,October,14,Polo Shirt,1,Credit Card,4,50
2022,Qtr 4,October,14,Sneakers,2,Cash,9,333
2022,Qtr 4,October,14,Socks,1,Credit Card,2,60
2022,Qtr 4,October,15,Cardigan,1,Cash,2,149
2022,Qtr 4,October,15,Flip-Flops,1,Credit Card,5,181
2022,Qtr 4,October,15,Jacket,1,Cash,4,163
2022,Qtr 4,October,15,Loafers,1,Cash,2,64
2022,Qtr 4,October,15,Onesie,1,Cash,5,173
2022,Qtr 4,October,15,Polo Shirt,1,Cash,4,42
2022,Qtr 4,October,15,Poncho,1,Credit Card,4,170
2022,Qtr 4,October,15,Romper,1,Cash,2,157
2022,Qtr 4,October,15,Scarf,1,Cash,2,144
2022,Qtr 4,October,15,Skirt,1,Cash,5,32
2022,Qtr 4,October,15,Tank Top,1,Credit Card,5,85
2022,Qtr 4,October,15,Tie,1,Cash,4,157
2022,Qtr 4,October,15,Tie,1,Credit Card,4,56
2022,Qtr 4,October,15,Vest,2,Credit Card,7,164
2022,Qtr 4,October,16,Hat,1,Cash,4,55
2022,Qtr 4,October,16,Hat,1,Credit Card,3,59
2022,Qtr 4,October,16,Jumpsuit,1,Cash,5,149
2022,Qtr 4,October,16,Kimono,1,Cash,4,25
2022,Qtr 4,October,16,Romper,1,Credit Card,3,157
2022,Qtr 4,October,17,Bowtie,1,Credit Card,5,61
2022,Qtr 4,October,17,Cardigan,1,Credit Card,5,153
2022,Qtr 4,October,17,Coat,1,Cash,5,157
2022,Qtr 4,October,17,Hat,1,Credit Card,5,31
2022,Qtr 4,October,17,Hoodie,2,Cash,10,215
2022,Qtr 4,October,17,Jacket,1,Cash,3,116
2022,Qtr 4,October,17,Pants,1,Cash,5,186
2022,Qtr 4,October,17,Shorts,1,Credit Card,2,160
2022,Qtr 4,October,17,Slippers,1,Cash,5,157
2022,Qtr 4,October,17,Swimsuit,1,Credit Card,2,24
2022,Qtr 4,October,17,Tie,1,Credit Card,4,36
2022,Qtr 4,October,17,Trench Coat,1,Cash,2,90
2022,Qtr 4,October,18,Bowtie,1,Cash,4,157
2022,Qtr 4,October,18,Cardigan,1,Cash,5,157
2022,Qtr 4,October,18,Handbag,1,Credit Card,3,157
2022,Qtr 4,October,18,Jumpsuit,1,Credit Card,2,88
2022,Qtr 4,October,18,Onesie,1,Cash,2,98
2022,Qtr 4,October,18,Romper,1,Cash,3,157
2022,Qtr 4,October,18,Shorts,1,Cash,5,157
2022,Qtr 4,October,18,Tank Top,1,Credit Card,3,33
2022,Qtr 4,October,18,Trench Coat,1,Credit Card,5,157
2022,Qtr 4,October,18,Tunic,1,Cash,3,58
2022,Qtr 4,October,18,Tunic,1,Credit Card,3,80
2022,Qtr 4,October,18,Umbrella,1,Cash,4,157
2022,Qtr 4,October,19,Boots,1,Cash,5,18
2022,Qtr 4,October,19,Dress,1,Cash,4,42
2022,Qtr 4,October,19,Dress,1,Credit Card,1,31
2022,Qtr 4,October,19,Leggings,1,Credit Card,3,122
2022,Qtr 4,October,19,Pajamas,1,Credit Card,2,61
2022,Qtr 4,October,19,Poncho,1,Credit Card,3,28
2022,Qtr 4,October,19,Raincoat,1,Credit Card,3,62
2022,Qtr 4,October,19,Shorts,1,Credit Card,5,143
2022,Qtr 4,October,19,Swimsuit,1,Cash,4,86
2022,Qtr 4,October,19,T-shirt,1,Credit Card,3,175
2022,Qtr 4,October,20,Dress,2,Credit Card,9,321
2022,Qtr 4,October,20,Sunglasses,1,Cash,3,14
2022,Qtr 4,October,20,Sunglasses,1,Credit Card,3,34
2022,Qtr 4,October,20,Trousers,1,Cash,4,189
2022,Qtr 4,October,21,Camisole,1,Cash,2,14
2022,Qtr 4,October,21,Dress,1,Cash,2,21
2022,Qtr 4,October,21,Loafers,1,Credit Card,3,195
2022,Qtr 4,October,21,Shorts,1,Credit Card,2,67
2022,Qtr 4,October,21,Vest,1,Cash,3,107
2022,Qtr 4,October,22,Flip-Flops,2,Cash,6,167
2022,Qtr 4,October,22,Gloves,1,Cash,4,153
2022,Qtr 4,October,22,Jumpsuit,1,Cash,4,95
2022,Qtr 4,October,22,Raincoat,1,Cash,4,157
2022,Qtr 4,October,22,Shorts,1,Credit Card,2,183
2022,Qtr 4,October,22,Slippers,1,Cash,4,137
2022,Qtr 4,October,22,Tank Top,1,Cash,4,134
2022,Qtr 4,October,22,Tank Top,1,Credit Card,3,49
2022,Qtr 4,October,22,T-shirt,1,Cash,2,198
2022,Qtr 4,October,22,Wallet,2,Credit Card,8,256
2022,Qtr 4,October,23,Backpack,1,Cash,4,157
2022,Qtr 4,October,23,Flip-Flops,1,Cash,4,157
2022,Qtr 4,October,23,Hoodie,1,Credit Card,4,157
2022,Qtr 4,October,23,Onesie,1,Cash,3,13
2022,Qtr 4,October,23,Pajamas,1,Cash,3,58
2022,Qtr 4,October,23,Pajamas,1,Credit Card,5,94
2022,Qtr 4,October,23,Pants,1,Credit Card,5,157
2022,Qtr 4,October,23,Poncho,1,Credit Card,3,105
2022,Qtr 4,October,23,Skirt,1,Cash,3,49
2022,Qtr 4,October,23,Slippers,1,Cash,2,116
2022,Qtr 4,October,23,Sun Hat,1,Credit Card,5,143
2022,Qtr 4,October,23,Tunic,1,Credit Card,3,178
2022,Qtr 4,October,23,Wallet,1,Credit Card,5,172
2022,Qtr 4,October,24,Backpack,1,Credit Card,4,57
2022,Qtr 4,October,24,Blazer,1,Credit Card,3,22
2022,Qtr 4,October,24,Flannel Shirt,1,Cash,5,157
2022,Qtr 4,October,24,Overalls,1,Cash,4,49
2022,Qtr 4,October,24,Socks,1,Credit Card,2,77
2022,Qtr 4,October,24,Tank Top,1,Credit Card,3,40
2022,Qtr 4,October,24,Trousers,1,Credit Card,3,130
2022,Qtr 4,October,24,Tunic,1,Cash,3,159
2022,Qtr 4,October,25,Backpack,1,Cash,3,140
2022,Qtr 4,October,25,Blazer,1,Credit Card,3,4232
2022,Qtr 4,October,25,Blouse,1,Cash,2,157
2022,Qtr 4,October,25,Camisole,1,Credit Card,3,157
2022,Qtr 4,October,25,Hat,1,Credit Card,3,54
2022,Qtr 4,October,25,Kimono,1,Cash,2,162
2022,Qtr 4,October,25,Loafers,1,Credit Card,4,157
2022,Qtr 4,October,25,Pants,1,Credit Card,2,185
2022,Qtr 4,October,25,Raincoat,1,Cash,3,33
2022,Qtr 4,October,25,Sandals,1,Credit Card,2,181
2022,Qtr 4,October,25,Sweater,1,Cash,5,99
2022,Qtr 4,October,25,Swimsuit,1,Credit Card,5,79
2022,Qtr 4,October,25,Trousers,1,Cash,3,157
2022,Qtr 4,October,25,Umbrella,1,Credit Card,5,197
2022,Qtr 4,October,26,Blouse,2,Credit Card,5,198
2022,Qtr 4,October,26,Jumpsuit,1,Cash,3,81
2022,Qtr 4,October,26,Skirt,1,Credit Card,3,157
2022,Qtr 4,October,26,Slippers,1,Credit Card,4,31
2022,Qtr 4,October,26,Sun Hat,1,Credit Card,5,157
2022,Qtr 4,October,26,Umbrella,1,Cash,5,157
2022,Qtr 4,October,27,Backpack,1,Credit Card,2,160
2022,Qtr 4,October,27,Blazer,1,Cash,2,36
2022,Qtr 4,October,27,Flip-Flops,1,Cash,4,157
2022,Qtr 4,October,27,Gloves,1,Credit Card,4,17
2022,Qtr 4,October,27,Hat,1,Cash,4,169
2022,Qtr 4,October,27,Jacket,1,Credit Card,5,157
2022,Qtr 4,October,27,Onesie,1,Credit Card,2,102
2022,Qtr 4,October,27,Pants,1,Cash,3,176
2022,Qtr 4,October,27,Raincoat,1,Cash,3,157
2022,Qtr 4,October,27,Scarf,1,Cash,3,169
2022,Qtr 4,October,27,Sneakers,1,Credit Card,3,16
2022,Qtr 4,October,27,Sweater,1,Credit Card,3,48
2022,Qtr 4,October,27,T-shirt,1,Cash,4,132
2022,Qtr 4,October,28,Blouse,1,Cash,2,96
2022,Qtr 4,October,28,Cardigan,1,Credit Card,3,19
2022,Qtr 4,October,28,Dress,1,Cash,5,180
2022,Qtr 4,October,28,Handbag,1,Cash,2,182
2022,Qtr 4,October,28,Jacket,1,Credit Card,2,153
2022,Qtr 4,October,28,Jeans,1,Credit Card,3,72
2022,Qtr 4,October,28,Jumpsuit,1,Credit Card,3,97
2022,Qtr 4,October,28,Pants,1,Credit Card,4,121
2022,Qtr 4,October,28,Shorts,1,Credit Card,2,40
2022,Qtr 4,October,28,Umbrella,1,Credit Card,3,188
2022,Qtr 4,October,28,Wallet,1,Credit Card,2,62
2022,Qtr 4,October,29,Belt,1,Cash,4,145
2022,Qtr 4,October,29,Blazer,1,Cash,4,66
2022,Qtr 4,October,29,Blazer,1,Credit Card,3,29
2022,Qtr 4,October,29,Flannel Shirt,1,Cash,4,164
2022,Qtr 4,October,29,Jeans,1,Cash,5,157
2022,Qtr 4,October,29,Skirt,1,Credit Card,5,157
2022,Qtr 4,October,29,T-shirt,1,Cash,4,97
2022,Qtr 4,October,30,Belt,1,Credit Card,3,135
2022,Qtr 4,October,30,Boots,1,Credit Card,5,157
2022,Qtr 4,October,30,Gloves,1,Credit Card,3,189
2022,Qtr 4,October,30,Kimono,1,Cash,5,157
2022,Qtr 4,October,30,Pajamas,1,Cash,5,157
2022,Qtr 4,October,30,Socks,1,Cash,4,22
2022,Qtr 4,October,30,Swimsuit,1,Cash,1,55
2022,Qtr 4,October,31,Cardigan,1,Cash,2,92
2022,Qtr 4,October,31,Flannel Shirt,1,Cash,3,188
2022,Qtr 4,October,31,Flip-Flops,1,Cash,2,27
2022,Qtr 4,October,31,Kimono,1,Cash,3,117
2022,Qtr 4,October,31,Leggings,1,Credit Card,2,17
2022,Qtr 4,October,31,Overalls,1,Credit Card,4,157
2022,Qtr 4,October,31,Pants,1,Cash,4,105
2022,Qtr 4,October,31,Sandals,1,Cash,5,49
2022,Qtr 4,October,31,Sandals,1,Credit Card,5,81
2022,Qtr 4,October,31,Shorts,1,Cash,2,170
2022,Qtr 4,October,31,Socks,1,Credit Card,5,67
2022,Qtr 4,October,31,Tank Top,1,Cash,4,157
2022,Qtr 4,October,31,Wallet,1,Cash,3,21
2022,Qtr 4,November,1,Boots,1,Credit Card,3,181
2022,Qtr 4,November,1,Flannel Shirt,1,Cash,4,64
2022,Qtr 4,November,1,Jeans,1,Credit Card,5,116
2022,Qtr 4,November,1,Leggings,1,Cash,5,157
2022,Qtr 4,November,1,Loafers,1,Credit Card,2,144
2022,Qtr 4,November,1,Pajamas,1,Credit Card,5,23
2022,Qtr 4,November,1,Poncho,1,Cash,3,157
2022,Qtr 4,November,1,Socks,1,Credit Card,2,37
2022,Qtr 4,November,2,Backpack,1,Cash,4,40
2022,Qtr 4,November,2,Bowtie,1,Credit Card,3,70
2022,Qtr 4,November,2,Jeans,1,Cash,5,80
2022,Qtr 4,November,2,Jumpsuit,1,Credit Card,3,114
2022,Qtr 4,November,2,Romper,1,Credit Card,2,142
2022,Qtr 4,November,2,Sneakers,2,Credit Card,6,269
2022,Qtr 4,November,2,Tank Top,1,Credit Card,4,42
2022,Qtr 4,November,2,Trousers,1,Cash,5,66
2022,Qtr 4,November,3,Blouse,1,Credit Card,3,157
2022,Qtr 4,November,3,Handbag,1,Credit Card,3,130
2022,Qtr 4,November,3,Hat,1,Cash,2,54
2022,Qtr 4,November,3,Pants,1,Cash,2,45
2022,Qtr 4,November,3,Scarf,2,Cash,9,320
2022,Qtr 4,November,3,Shorts,1,Cash,5,179
2022,Qtr 4,November,3,Socks,1,Credit Card,2,102
2022,Qtr 4,November,3,Trench Coat,1,Credit Card,4,13
2022,Qtr 4,November,3,Wallet,1,Cash,3,160
2022,Qtr 4,November,4,Blazer,1,Credit Card,3,39
2022,Qtr 4,November,4,Camisole,1,Cash,5,147
2022,Qtr 4,November,4,Jumpsuit,1,Credit Card,5,130
2022,Qtr 4,November,4,Loafers,1,Credit Card,2,158
2022,Qtr 4,November,4,Pants,1,Cash,4,23
2022,Qtr 4,November,4,Raincoat,1,Cash,4,197
2022,Qtr 4,November,4,Sandals,1,Cash,3,47
2022,Qtr 4,November,4,Sun Hat,1,Cash,5,56
2022,Qtr 4,November,4,T-shirt,1,Credit Card,2,157
2022,Qtr 4,November,5,Bowtie,1,Credit Card,2,157
2022,Qtr 4,November,5,Cardigan,1,Cash,2,122
2022,Qtr 4,November,5,Jeans,1,Cash,2,148
2022,Qtr 4,November,5,Loafers,1,Cash,3,198
2022,Qtr 4,November,5,Onesie,1,Cash,5,157
2022,Qtr 4,November,5,Polo Shirt,1,Credit Card,4,167
2022,Qtr 4,November,5,Scarf,1,Cash,2,66
2022,Qtr 4,November,5,Shorts,1,Cash,4,89
2022,Qtr 4,November,5,Sweater,1,Credit Card,4,128
2022,Qtr 4,November,5,T-shirt,1,Credit Card,4,99
2022,Qtr 4,November,6,Backpack,1,Credit Card,2,175
2022,Qtr 4,November,6,Sandals,1,Cash,2,159
2022,Qtr 4,November,6,Shorts,1,Credit Card,5,21
2022,Qtr 4,November,6,Slippers,1,Credit Card,5,58
2022,Qtr 4,November,6,Sneakers,1,Credit Card,1,164
2022,Qtr 4,November,6,Socks,1,Cash,3,195
2022,Qtr 4,November,7,Boots,1,Credit Card,5,157
2022,Qtr 4,November,7,Gloves,1,Credit Card,2,54
2022,Qtr 4,November,7,Hat,1,Cash,3,19
2022,Qtr 4,November,7,Jumpsuit,1,Cash,3,157
2022,Qtr 4,November,7,Overalls,1,Credit Card,4,19
2022,Qtr 4,November,7,Polo Shirt,1,Cash,5,117
2022,Qtr 4,November,7,Poncho,1,Cash,3,107
2022,Qtr 4,November,7,Sandals,2,Cash,10,206
2022,Qtr 4,November,7,Sun Hat,1,Cash,5,118
2022,Qtr 4,November,7,Tunic,1,Credit Card,1,155
2022,Qtr 4,November,8,Coat,1,Cash,3,53
2022,Qtr 4,November,8,Gloves,1,Cash,5,157
2022,Qtr 4,November,8,Hoodie,1,Cash,3,157
2022,Qtr 4,November,8,Jeans,1,Cash,4,105
2022,Qtr 4,November,8,Overalls,1,Credit Card,2,157
2022,Qtr 4,November,8,Pajamas,1,Credit Card,2,159
2022,Qtr 4,November,8,Polo Shirt,1,Credit Card,5,197
2022,Qtr 4,November,8,Swimsuit,1,Cash,4,119
2022,Qtr 4,November,8,Tunic,1,Cash,3,101
2022,Qtr 4,November,8,Tunic,1,Credit Card,4,126
2022,Qtr 4,November,9,Blazer,1,Cash,3,110
2022,Qtr 4,November,9,Gloves,1,Credit Card,3,44
2022,Qtr 4,November,9,Jacket,1,Credit Card,4,141
2022,Qtr 4,November,9,Jumpsuit,1,Credit Card,5,172
2022,Qtr 4,November,9,Leggings,1,Credit Card,4,23
2022,Qtr 4,November,9,Pajamas,1,Credit Card,3,157
2022,Qtr 4,November,9,Pants,1,Cash,5,190
2022,Qtr 4,November,9,Polo Shirt,1,Credit Card,4,145
2022,Qtr 4,November,9,Romper,1,Credit Card,5,157
2022,Qtr 4,November,9,Tank Top,1,Cash,3,153
2022,Qtr 4,November,10,Blazer,1,Credit Card,2,157
2022,Qtr 4,November,10,Blouse,1,Credit Card,3,115
2022,Qtr 4,November,10,Dress,1,Cash,2,98
2022,Qtr 4,November,10,Gloves,1,Credit Card,3,105
2022,Qtr 4,November,10,Onesie,1,Cash,5,157
2022,Qtr 4,November,10,Overalls,1,Credit Card,2,33
2022,Qtr 4,November,10,Skirt,1,Credit Card,3,157
2022,Qtr 4,November,10,Sunglasses,1,Cash,3,139
2022,Qtr 4,November,10,Tie,1,Cash,5,91
2022,Qtr 4,November,10,Trench Coat,1,Cash,5,125
2022,Qtr 4,November,10,Trousers,1,Cash,5,2419
2022,Qtr 4,November,10,Trousers,1,Credit Card,3,181
2022,Qtr 4,November,10,Tunic,1,Cash,3,99
2022,Qtr 4,November,10,Vest,1,Credit Card,4,28
2022,Qtr 4,November,11,Hoodie,1,Credit Card,2,167
2022,Qtr 4,November,11,Overalls,1,Credit Card,3,194
2022,Qtr 4,November,11,Romper,1,Credit Card,2,85
2022,Qtr 4,November,11,Skirt,1,Cash,4,36
2022,Qtr 4,November,11,Sun Hat,1,Credit Card,2,111
2022,Qtr 4,November,11,T-shirt,2,Cash,6,222
2022,Qtr 4,November,12,Backpack,1,Credit Card,4,128
2022,Qtr 4,November,12,Blazer,1,Cash,4,158
2022,Qtr 4,November,12,Jumpsuit,1,Cash,5,42
2022,Qtr 4,November,12,Skirt,1,Credit Card,2,161
2022,Qtr 4,November,12,Trench Coat,1,Credit Card,4,104
2022,Qtr 4,November,12,Vest,1,Credit Card,4,71
2022,Qtr 4,November,13,Blouse,1,Cash,5,51
2022,Qtr 4,November,13,Socks,1,Cash,2,24
2022,Qtr 4,November,13,Sunglasses,1,Credit Card,2,157
2022,Qtr 4,November,13,T-shirt,1,Cash,3,94
2022,Qtr 4,November,14,Bowtie,1,Cash,3,94
2022,Qtr 4,November,14,Polo Shirt,1,Credit Card,4,193
2022,Qtr 4,November,14,Sandals,1,Cash,2,182
2022,Qtr 4,November,14,Shorts,1,Cash,3,40
2022,Qtr 4,November,14,T-shirt,1,Credit Card,3,174
2022,Qtr 4,November,15,Handbag,1,Cash,2,94
2022,Qtr 4,November,15,Hat,2,Credit Card,5,216
2022,Qtr 4,November,15,Jumpsuit,1,Credit Card,4,162
2022,Qtr 4,November,15,Onesie,1,Cash,4,176
2022,Qtr 4,November,15,Overalls,1,Credit Card,4,170
2022,Qtr 4,November,15,Romper,1,Cash,5,157
2022,Qtr 4,November,15,Tunic,1,Cash,2,157
2022,Qtr 4,November,15,Tunic,1,Credit Card,2,109
2022,Qtr 4,November,16,Camisole,1,Cash,2,157
2022,Qtr 4,November,16,Camisole,1,Credit Card,2,152
2022,Qtr 4,November,16,Skirt,1,Cash,4,147
2022,Qtr 4,November,16,Tank Top,1,Cash,4,111
2022,Qtr 4,November,16,Vest,1,Cash,4,157
2022,Qtr 4,November,17,Belt,1,Credit Card,4,32
2022,Qtr 4,November,17,Blazer,1,Credit Card,4,118
2022,Qtr 4,November,17,Boots,1,Credit Card,2,189
2022,Qtr 4,November,17,Camisole,1,Cash,3,107
2022,Qtr 4,November,17,Dress,1,Cash,4,157
2022,Qtr 4,November,17,Loafers,1,Credit Card,3,95
2022,Qtr 4,November,17,Poncho,1,Credit Card,3,73
2022,Qtr 4,November,17,Shorts,1,Credit Card,3,105
2022,Qtr 4,November,17,Sneakers,1,Credit Card,4,112
2022,Qtr 4,November,17,Sunglasses,1,Cash,3,56
2022,Qtr 4,November,17,Tie,1,Credit Card,5,14
2022,Qtr 4,November,17,Wallet,1,Credit Card,5,126
2022,Qtr 4,November,18,Blazer,1,Credit Card,4,157
2022,Qtr 4,November,18,Gloves,1,Credit Card,3,150
2022,Qtr 4,November,18,Hoodie,1,Credit Card,5,136
2022,Qtr 4,November,18,Loafers,1,Cash,3,165
2022,Qtr 4,November,18,Overalls,1,Cash,3,157
2022,Qtr 4,November,18,Pants,1,Credit Card,2,119
2022,Qtr 4,November,18,Sandals,1,Cash,4,97
2022,Qtr 4,November,18,Skirt,1,Cash,3,58
2022,Qtr 4,November,18,Umbrella,1,Cash,5,98
2022,Qtr 4,November,18,Wallet,1,Cash,5,123
2022,Qtr 4,November,19,Camisole,1,Cash,3,147
2022,Qtr 4,November,19,Hat,1,Cash,2,157
2022,Qtr 4,November,19,Hoodie,1,Credit Card,2,128
2022,Qtr 4,November,19,Jeans,1,Cash,5,157
2022,Qtr 4,November,19,Romper,1,Credit Card,5,147
2022,Qtr 4,November,19,Scarf,1,Cash,2,96
2022,Qtr 4,November,19,Scarf,1,Credit Card,5,107
2022,Qtr 4,November,19,Sun Hat,1,Credit Card,5,105
2022,Qtr 4,November,19,Sunglasses,1,Credit Card,3,93
